faq_id,domain,subdomain,intent_type,customer_difficulty,question,answer,keywords,risk_level,handoff_required,review_note,source_name,source_url,embedding_text,char_len,ready_status,,요약,
1,금융상담,대출/금리,설명형,금리 구조 이해 어려움,고정금리와 변동금리의 차이는 무엇인가요?,"고정금리는 약정한 기간 동안 금리가 동일하고, 변동금리는 기준금리나 시장금리 변동에 따라 금리가 조정됩니다. 금리 상승 위험을 줄이고 싶다면 고정금리, 초기 금리 부담과 향후 금리 하락 가능성을 함께 보려면 변동금리를 검토할 수 있습니다. 실제 적용 방식은 상품설명서와 계약조건을 확인해야 합니다.","고정금리,변동금리,대출금리,금리비교",중간,N,상품별 세부 금리 산식은 기관마다 달라 최종 안내 전 상품설명서 확인 필요,공개 금융소비자보호 자료(대출가이드) 참고 정제,https://www.asanbank.co.kr/PtcLogiInfo_002.act,"금융상담 | 대출/금리 | 설명형 | Q: 고정금리와 변동금리의 차이는 무엇인가요? | A: 고정금리는 약정한 기간 동안 금리가 동일하고, 변동금리는 기준금리나 시장금리 변동에 따라 금리가 조정됩니다. 금리 상승 위험을 줄이고 싶다면 고정금리, 초기 금리 부담과 향후 금리 하락 가능성을 함께 보려면 변동금리를 검토할 수 있습니다. 실제 적용 방식은 상품설명서와 계약조건을 확인해야 합니다. | 키워드: 고정금리,변동금리,대출금리,금리비교",245,READY,,총 FAQ 수,34
2,금융상담,대출/금리,설명형,상환 방식 이해 어려움,원리금균등상환과 원금균등상환은 어떻게 다른가요?,"원리금균등상환은 매달 내는 총액이 비교적 일정하고, 원금균등상환은 매달 갚는 원금이 같아 초반 상환 부담은 크지만 시간이 지날수록 이자 부담이 줄어듭니다. 총이자 규모와 월 상환액 패턴이 다르므로 상환 계획에 맞춰 선택해야 합니다.","원리금균등,원금균등,상환방식,월상환액",중간,N,예시 수치는 별도 계산기나 실제 상품 약정으로 재확인 권장,공개 금융 FAQ 참고 정제,https://www.kebhana.com/cont/customer/customer01/index.jsp,"금융상담 | 대출/금리 | 설명형 | Q: 원리금균등상환과 원금균등상환은 어떻게 다른가요? | A: 원리금균등상환은 매달 내는 총액이 비교적 일정하고, 원금균등상환은 매달 갚는 원금이 같아 초반 상환 부담은 크지만 시간이 지날수록 이자 부담이 줄어듭니다. 총이자 규모와 월 상환액 패턴이 다르므로 상환 계획에 맞춰 선택해야 합니다. | 키워드: 원리금균등,원금균등,상환방식,월상환액",213,READY,,READY 수,22
3,금융상담,대출/수수료,설명형,비용 발생 기준 불명확,중도상환수수료는 왜 발생하나요?,"중도상환수수료는 금융회사가 예상했던 이자수익 감소와 대출 취급 비용을 일부 보전하기 위해 부과하는 비용입니다. 다만 면제 조건이나 면제 기간이 있을 수 있고, 상품별 계산 방식이 다르므로 약정서와 상품설명서를 확인해야 합니다.","중도상환수수료,대출상환,수수료",중간,N,면제 여부와 비율은 상품별 차이가 큼,공개 금융소비자보호 자료(대출가이드) 참고 정제,https://www.asanbank.co.kr/PtcLogiInfo_002.act,"금융상담 | 대출/수수료 | 설명형 | Q: 중도상환수수료는 왜 발생하나요? | A: 중도상환수수료는 금융회사가 예상했던 이자수익 감소와 대출 취급 비용을 일부 보전하기 위해 부과하는 비용입니다. 다만 면제 조건이나 면제 기간이 있을 수 있고, 상품별 계산 방식이 다르므로 약정서와 상품설명서를 확인해야 합니다. | 키워드: 중도상환수수료,대출상환,수수료",198,READY,,REVIEW 수,12
4,금융상담,대출/권리,절차형,대출 취소 가능 여부 혼란,대출계약을 철회할 수 있나요?,"일반적으로 법령상 대출계약 철회권이 적용되는 경우에는 계약 후 일정 기간 내에 원리금과 부대비용을 상환하고 철회의사를 표시하면 계약 철회가 가능합니다. 다만 대상 상품, 한도, 기한, 제외 상품이 있으므로 실제 적용 가능 여부는 약정서와 해당 금융회사 안내를 확인해야 합니다.","대출계약철회권,대출취소,철회",중간,N,적용 대상과 기한은 기관별 안내 확인 필요,공개 금융소비자보호 자료(대출가이드) 참고 정제,https://www.asanbank.co.kr/PtcLogiInfo_002.act,"금융상담 | 대출/권리 | 절차형 | Q: 대출계약을 철회할 수 있나요? | A: 일반적으로 법령상 대출계약 철회권이 적용되는 경우에는 계약 후 일정 기간 내에 원리금과 부대비용을 상환하고 철회의사를 표시하면 계약 철회가 가능합니다. 다만 대상 상품, 한도, 기한, 제외 상품이 있으므로 실제 적용 가능 여부는 약정서와 해당 금융회사 안내를 확인해야 합니다. | 키워드: 대출계약철회권,대출취소,철회",223,READY,,높음 리스크 수,9
5,금융상담,대출/신용,설명형,신용점수 영향 이해 부족,대출 연체가 신용점수에 어떤 영향을 주나요?,"대출이나 카드대금을 연체하면 신용평가에 부정적 영향을 줄 수 있으며, 연체 기간과 금액이 길수록 불이익이 커질 수 있습니다. 이미 연체가 발생했다면 가능한 한 빨리 상환하고, 이후에는 자동이체 설정이나 상환 일정 관리로 재연체를 방지하는 것이 중요합니다.","연체,신용점수,신용평가",높음,Y,개인 신용평가 결과는 기관별·개인별로 달라 일반론만 안내,공개 금융 FAQ 참고 정제,https://www.choeunbank.com/CstList_001.act,"금융상담 | 대출/신용 | 설명형 | Q: 대출 연체가 신용점수에 어떤 영향을 주나요? | A: 대출이나 카드대금을 연체하면 신용평가에 부정적 영향을 줄 수 있으며, 연체 기간과 금액이 길수록 불이익이 커질 수 있습니다. 이미 연체가 발생했다면 가능한 한 빨리 상환하고, 이후에는 자동이체 설정이나 상환 일정 관리로 재연체를 방지하는 것이 중요합니다. | 키워드: 연체,신용점수,신용평가",216,REVIEW,,이관 필요 수,12
6,금융상담,대출/한도,설명형,승인 기준 불투명,대출 한도는 보통 무엇을 보고 정해지나요?,"대출 한도는 소득, 기존 부채, 신용도, 상환능력, 담보 여부, 금융회사 내부 심사기준 등을 종합해 결정됩니다. 같은 상품이라도 개인 상황과 시점에 따라 결과가 달라질 수 있어 사전 한도조회와 실제 심사 결과가 다를 수 있습니다.","대출한도,심사기준,상환능력,부채",높음,Y,개인별 심사 결과 예측성 답변은 제한,공개 금융 FAQ 참고 정제,https://www.kebhana.com/cont/customer/customer01/index.jsp,"금융상담 | 대출/한도 | 설명형 | Q: 대출 한도는 보통 무엇을 보고 정해지나요? | A: 대출 한도는 소득, 기존 부채, 신용도, 상환능력, 담보 여부, 금융회사 내부 심사기준 등을 종합해 결정됩니다. 같은 상품이라도 개인 상황과 시점에 따라 결과가 달라질 수 있어 사전 한도조회와 실제 심사 결과가 다를 수 있습니다. | 키워드: 대출한도,심사기준,상환능력,부채",206,REVIEW,,,
7,금융상담,대출/금리,설명형,금리 산정 기준 불명확,왜 제 대출 금리가 다른 사람과 다를 수 있나요?,"대출 금리는 기준금리와 가산금리, 우대금리 적용 여부 등에 따라 결정됩니다. 신용도, 거래실적, 담보, 상환방식, 상품조건이 다르면 금리도 달라질 수 있습니다. 정확한 금리 사유는 상담사나 상품설명서를 통해 확인하는 것이 좋습니다.","가산금리,우대금리,개인별금리,대출금리",높음,Y,개인별 금리 산식은 상세 조회가 필요,공개 금융 FAQ 참고 정제,https://www.kebhana.com/cont/customer/customer01/index.jsp,"금융상담 | 대출/금리 | 설명형 | Q: 왜 제 대출 금리가 다른 사람과 다를 수 있나요? | A: 대출 금리는 기준금리와 가산금리, 우대금리 적용 여부 등에 따라 결정됩니다. 신용도, 거래실적, 담보, 상환방식, 상품조건이 다르면 금리도 달라질 수 있습니다. 정확한 금리 사유는 상담사나 상품설명서를 통해 확인하는 것이 좋습니다. | 키워드: 가산금리,우대금리,개인별금리,대출금리",214,REVIEW,,,
8,금융상담,대출/이자,민원형,월 이자 금액 차이에 대한 불만,매달 이자 금액이 다른 이유는 무엇인가요?,"이자 금액은 잔액, 금리 변동 여부, 일수 차이, 상환 일정에 따라 달라질 수 있습니다. 특히 변동금리 상품이나 일할 계산이 적용되는 상품은 매월 이자액이 일정하지 않을 수 있습니다. 구체적인 산식은 거래내역과 약정 조건을 함께 확인해야 합니다.","이자계산,월이자,변동금리,일할계산",높음,Y,민원성 질문 가능성이 높아 상세 조회 필요,공개 금융 FAQ 참고 정제,https://www.ptbank.co.kr/CstList_001.act,"금융상담 | 대출/이자 | 민원형 | Q: 매달 이자 금액이 다른 이유는 무엇인가요? | A: 이자 금액은 잔액, 금리 변동 여부, 일수 차이, 상환 일정에 따라 달라질 수 있습니다. 특히 변동금리 상품이나 일할 계산이 적용되는 상품은 매월 이자액이 일정하지 않을 수 있습니다. 구체적인 산식은 거래내역과 약정 조건을 함께 확인해야 합니다. | 키워드: 이자계산,월이자,변동금리,일할계산",216,REVIEW,,,
9,금융상담,예금/계좌,절차형,계좌 개설 채널 혼란,비대면으로 계좌를 개설할 수 있나요?,"금융회사와 상품에 따라 모바일 앱이나 인터넷뱅킹으로 비대면 계좌 개설이 가능한 경우가 있습니다. 다만 본인확인 절차, 신분증 촬영, 추가 인증, 이용 가능 시간 등의 제한이 있을 수 있으므로 해당 금융회사 앱 또는 홈페이지 안내를 확인해야 합니다.","비대면계좌개설,신분증,본인확인,모바일뱅킹",중간,N,가능 여부는 상품 및 기관마다 상이,공개 은행 FAQ 참고 정제,https://www.smartbank.co.kr/CstList_001.act,"금융상담 | 예금/계좌 | 절차형 | Q: 비대면으로 계좌를 개설할 수 있나요? | A: 금융회사와 상품에 따라 모바일 앱이나 인터넷뱅킹으로 비대면 계좌 개설이 가능한 경우가 있습니다. 다만 본인확인 절차, 신분증 촬영, 추가 인증, 이용 가능 시간 등의 제한이 있을 수 있으므로 해당 금융회사 앱 또는 홈페이지 안내를 확인해야 합니다. | 키워드: 비대면계좌개설,신분증,본인확인,모바일뱅킹",218,READY,,,
10,금융상담,예금/계좌,절차형,계좌 해지 절차 혼란,계좌를 해지하려면 어떻게 해야 하나요?,"계좌 해지는 상품 유형과 상태에 따라 모바일, 인터넷뱅킹, 영업점에서 가능할 수 있습니다. 미지급 이자, 연결 자동이체, 체크카드, 대출 연계 여부가 있으면 추가 확인이 필요합니다. 안전하게 처리하려면 해지 전 연결 서비스 현황을 먼저 점검하는 것이 좋습니다.","계좌해지,자동이체,영업점,모바일",중간,N,미결제·연계상품 존재 시 상담 연결 권장,공개 은행 FAQ 참고 정제,https://www.kebhana.com/cont/customer/customer01/index.jsp,"금융상담 | 예금/계좌 | 절차형 | Q: 계좌를 해지하려면 어떻게 해야 하나요? | A: 계좌 해지는 상품 유형과 상태에 따라 모바일, 인터넷뱅킹, 영업점에서 가능할 수 있습니다. 미지급 이자, 연결 자동이체, 체크카드, 대출 연계 여부가 있으면 추가 확인이 필요합니다. 안전하게 처리하려면 해지 전 연결 서비스 현황을 먼저 점검하는 것이 좋습니다. | 키워드: 계좌해지,자동이체,영업점,모바일",221,READY,,,
11,금융상담,예금/보안,절차형,인증수단 변경 절차 혼란,OTP는 인터넷으로 등록 또는 변경할 수 있나요?,일부 금융회사는 보안상 이유로 OTP 신규 등록이나 보안매체 변경 시 영업점 방문 또는 추가 본인확인을 요구합니다. 인터넷뱅킹에서 바로 처리 가능한 항목과 직접 방문이 필요한 항목이 다를 수 있으니 해당 금융회사 보안매체 안내를 확인해야 합니다.,"OTP,보안매체,인터넷뱅킹,본인확인",중간,N,보안정책이 기관별로 다름,공개 은행 FAQ 참고 정제,https://www.smartbank.co.kr/CstList_001.act,"금융상담 | 예금/보안 | 절차형 | Q: OTP는 인터넷으로 등록 또는 변경할 수 있나요? | A: 일부 금융회사는 보안상 이유로 OTP 신규 등록이나 보안매체 변경 시 영업점 방문 또는 추가 본인확인을 요구합니다. 인터넷뱅킹에서 바로 처리 가능한 항목과 직접 방문이 필요한 항목이 다를 수 있으니 해당 금융회사 보안매체 안내를 확인해야 합니다. | 키워드: OTP,보안매체,인터넷뱅킹,본인확인",221,READY,,,
